Season,Team,Points,GoalsScored,GoalsConceded,GoalDifference,Position
09-10,Chelsea,86,103,32,71,1
09-10,Man United,85,86,28,58,2
09-10,Arsenal,75,83,41,42,3
09-10,Tottenham,70,67,41,26,4
09-10,Man City,67,73,45,28,5
09-10,Aston Villa,64,52,39,13,6
09-10,Liverpool,63,61,35,26,7
09-10,Everton,61,60,49,11,8
09-10,Birmingham,50,38,47,-9,9
09-10,Blackburn,50,41,55,-14,10
09-10,Stoke,47,34,48,-14,11
09-10,Fulham,46,39,46,-7,12
09-10,Sunderland,44,48,56,-8,13
09-10,Bolton,39,42,67,-25,14
09-10,Wolves,38,32,56,-24,15
09-10,Wigan,36,37,79,-42,16
09-10,West Ham,35,47,66,-19,17
09-10,Burnley,30,42,82,-40,18
09-10,Hull,30,34,75,-41,19
09-10,Portsmouth,28,34,66,-32,20
10-11,Man United,80,78,37,41,1
10-11,Chelsea,71,69,33,36,2
10-11,Man City,71,60,33,27,3
10-11,Arsenal,68,72,43,29,4
10-11,Tottenham,62,55,46,9,5
10-11,Liverpool,58,59,44,15,6
10-11,Everton,54,51,45,6,7
10-11,Fulham,49,49,43,6,8
10-11,Aston Villa,48,48,59,-11,9
10-11,Sunderland,47,45,56,-11,10
10-11,West Brom,47,56,71,-15,11
10-11,Newcastle,46,56,57,-1,12
10-11,Stoke,46,46,48,-2,13
10-11,Bolton,46,52,56,-4,14
10-11,Blackburn,43,46,59,-13,15
10-11,Wigan,42,40,61,-21,16
10-11,Wolves,40,46,66,-20,17
10-11,Birmingham,39,37,58,-21,18
10-11,Blackpool,39,55,78,-23,19
10-11,West Ham,33,43,70,-27,20
11-12,Man City,89,93,29,64,1
11-12,Man United,89,89,33,56,2
11-12,Arsenal,70,74,49,25,3
11-12,Tottenham,69,66,41,25,4
11-12,Newcastle,65,56,51,5,5
11-12,Chelsea,64,65,46,19,6
11-12,Everton,56,50,40,10,7
11-12,Liverpool,52,47,40,7,8
11-12,Fulham,52,48,51,-3,9
11-12,West Brom,47,45,52,-7,10
11-12,Swansea,47,44,51,-7,11
11-12,Norwich,47,52,66,-14,12
11-12,Sunderland,45,45,46,-1,13
11-12,Stoke,45,36,53,-17,14
11-12,Wigan,43,42,62,-20,15
11-12,Aston Villa,38,37,53,-16,16
11-12,QPR,37,43,66,-23,17
11-12,Bolton,36,46,77,-31,18
11-12,Blackburn,31,48,78,-30,19
11-12,Wolves,25,40,82,-42,20
12-13,Man United,89,86,43,43,1
12-13,Man City,78,66,34,32,2
12-13,Chelsea,75,75,39,36,3
12-13,Arsenal,73,72,37,35,4
12-13,Tottenham,72,66,46,20,5
12-13,Everton,63,55,40,15,6
12-13,Liverpool,61,71,43,28,7
12-13,West Brom,49,53,57,-4,8
12-13,Swansea,46,47,51,-4,9
12-13,West Ham,46,45,53,-8,10
12-13,Norwich,44,41,58,-17,11
12-13,Fulham,43,50,60,-10,12
12-13,Stoke,42,34,45,-11,13
12-13,Southampton,41,49,60,-11,14
12-13,Aston Villa,41,47,69,-22,15
12-13,Newcastle,41,45,68,-23,16
12-13,Sunderland,39,41,54,-13,17
12-13,Wigan,36,47,73,-26,18
12-13,Reading,28,43,73,-30,19
12-13,QPR,25,30,60,-30,20
13-14,Man City,86,102,37,65,1
13-14,Liverpool,84,101,50,51,2
13-14,Chelsea,82,71,27,44,3
13-14,Arsenal,79,68,41,27,4
13-14,Everton,72,61,39,22,5
13-14,Tottenham,69,55,51,4,6
13-14,Man United,64,64,43,21,7
13-14,Southampton,56,54,46,8,8
13-14,Stoke,50,45,52,-7,9
13-14,Newcastle,49,43,59,-16,10
13-14,Crystal Palace,45,33,48,-15,11
13-14,Swansea,42,54,54,0,12
13-14,West Ham,40,40,51,-11,13
13-14,Sunderland,38,41,60,-19,14
13-14,Aston Villa,38,39,61,-22,15
13-14,Hull,37,38,53,-15,16
13-14,West Brom,36,43,59,-16,17
13-14,Norwich,33,28,62,-34,18
13-14,Fulham,32,40,85,-45,19
13-14,Cardiff,30,32,74,-42,20
14-15,Chelsea,87,73,32,41,1
14-15,Man City,79,83,38,45,2
14-15,Arsenal,75,71,36,35,3
14-15,Man United,70,62,37,25,4
14-15,Tottenham,64,58,53,5,5
14-15,Liverpool,62,52,48,4,6
14-15,Southampton,60,54,33,21,7
14-15,Swansea,56,46,49,-3,8
14-15,Stoke,54,48,45,3,9
14-15,Crystal Palace,48,47,51,-4,10
14-15,Everton,47,48,50,-2,11
14-15,West Ham,47,44,47,-3,12
14-15,West Brom,44,38,51,-13,13
14-15,Leicester,41,46,55,-9,14
14-15,Newcastle,39,40,63,-23,15
14-15,Sunderland,38,31,53,-22,16
14-15,Aston Villa,38,31,57,-26,17
14-15,Hull,35,33,51,-18,18
14-15,Burnley,33,28,53,-25,19
14-15,QPR,30,42,73,-31,20
15-16,Leicester,81,68,36,32,1
15-16,Arsenal,71,65,36,29,2
15-16,Tottenham,70,69,35,34,3
15-16,Man City,66,71,41,30,4
15-16,Man United,66,49,35,14,5
15-16,Southampton,63,59,41,18,6
15-16,West Ham,62,65,51,14,7
15-16,Liverpool,60,63,50,13,8
15-16,Stoke,51,41,55,-14,9
15-16,Chelsea,50,59,53,6,10
15-16,Everton,47,59,55,4,11
15-16,Swansea,47,42,52,-10,12
15-16,Watford,45,40,50,-10,13
15-16,West Brom,43,34,48,-14,14
15-16,Crystal Palace,42,39,51,-12,15
15-16,Bournemouth,42,45,67,-22,16
15-16,Sunderland,39,48,62,-14,17
15-16,Newcastle,37,44,65,-21,18
15-16,Norwich,34,39,67,-28,19
15-16,Aston Villa,17,27,76,-49,20
16-17,Chelsea,93,85,33,52,1
16-17,Tottenham,86,86,26,60,2
16-17,Man City,78,80,39,41,3
16-17,Liverpool,76,78,42,36,4
16-17,Arsenal,75,77,44,33,5
16-17,Man United,69,54,29,25,6
16-17,Everton,61,62,44,18,7
16-17,Southampton,46,41,48,-7,8
16-17,Bournemouth,46,55,67,-12,9
16-17,West Brom,45,43,51,-8,10
16-17,West Ham,45,47,64,-17,11
16-17,Leicester,44,48,63,-15,12
16-17,Stoke,44,41,56,-15,13
16-17,Crystal Palace,41,50,63,-13,14
16-17,Swansea,41,45,70,-25,15
16-17,Burnley,40,39,55,-16,16
16-17,Watford,40,40,68,-28,17
16-17,Hull,34,37,80,-43,18
16-17,Middlesbrough,28,27,53,-26,19
16-17,Sunderland,24,29,69,-40,20
17-18,Man City,100,106,27,79,1
17-18,Man United,81,68,28,40,2
17-18,Tottenham,77,74,36,38,3
17-18,Liverpool,75,84,38,46,4
17-18,Chelsea,70,62,38,24,5
17-18,Arsenal,63,74,51,23,6
17-18,Burnley,54,36,39,-3,7
17-18,Everton,49,44,58,-14,8
17-18,Leicester,47,56,60,-4,9
17-18,Newcastle,44,39,47,-8,10
17-18,Crystal Palace,44,45,55,-10,11
17-18,Bournemouth,44,45,61,-16,12
17-18,West Ham,42,48,68,-20,13
